categoria,nombre,direccion,url,precio,precio_2,rating
deportes-acuaticos,Bautismo de buceo para 1 o 2 personas en Neodive (hasta...,"Calle Frómista, 1, Madrid",https://www.groupon.es/deals/neodive-3,24.99,,4.9
patinaje-sobre-hielo,Acceso a la Pista de Hielo para 2 o 4 con alquiler de p...,"Calle Dalí, 11, Valdemoro",https://www.groupon.es/deals/pista-de-hielo-valdemoro-8,14.99,,4.5
v-golf,10 horas de clases de golf entre semana o fin de semana...,"M-509, crta. Majadahonda- Villanueva del Pardillo KM 3,300., Majadahonda",https://www.groupon.es/deals/el-campo-de-tiro-25,69.99,,4.5
parapente,Vuelo biplaza de 600/800 m de desnivel en parapente par...,"Av. del Mediterráneo, 28, 28007 Madrid, Madrid",https://www.groupon.es/deals/de-madrid-al-cielo-5,79.99,,5
tours-de-vinos,Cata de vinos a elegir con queso y guarniciones o jamón...,"plaza mayor s/n, Madrid",https://www.groupon.es/deals/ar-sumiller-asesor-ii-1,49.95,,3.7
tours-de-vinos,"Visita con degustación de vinos, ibéricos, aove y queso...","Timoteo Pérez Rubio, 2, Madrid",https://www.groupon.es/deals/bodega-los-porches,14.99,,5
tours-de-vinos,Visita guiada tradicional o premium a la Bodega del Ner...,"Calle de Don Ramiro, 6, Chinchón",https://www.groupon.es/deals/bodega-del-nero-1,14.99,,4.9
tours-de-vinos,"Visita guiada y cata de vinos para 2, 4 o 6 personas en...","Colmenar de Oreja, Madrid",https://www.groupon.es/deals/bodegasjesusdiazehijos-1,22.99,,5
tours-de-vinos,"Visita de bodega y degustación de vinos para 2, 4 o 6 p...","Calle de la Soledad, 10, Colmenar de Oreja",https://www.groupon.es/deals/bodega-pedro-garcia-1,12.99,,4.9
tours-de-vinos,"Visita a bodega para 2, 4 o 6 con cata en Bodega Restau...","Calle del Convento, 21, Colmenar de Oreja",https://www.groupon.es/deals/bodega-restaurante-narciso-figueroa,9.99,,2.3
excursiones-por-la-ciudad-y-lugares-de-interes,Tour panorámico en Tuk Tuk o Buggy con sesión fotográfi...,"Pl. de San Miguel, s/n, Madrid",https://www.groupon.es/deals/tuk-tuk-madrid-1,44.99,,5
excursiones-por-la-ciudad-y-lugares-de-interes,"Tour guiado por Ávila y Salamanca o Toledo, Segovia y Á...","Plaza de Toros de las Ventas, C. de Alcalá, 237, Madrid",https://www.groupon.es/deals/amigo-tours-6,75.99,,
excursiones-por-la-ciudad-y-lugares-de-interes,"Tour a elegir del Palacio Real, Museo del Prado y Reina...","Calle de Julio Camba, Madrid",https://www.groupon.es/deals/amigo-tours-2,26.99,,
excursiones-por-la-ciudad-y-lugares-de-interes,"Visita turística guiada por Alcalá de Henares para 1, 2...","Calle mayor, 46, Alcalá de Henares",https://www.groupon.es/deals/alcala-turismo-y-mas,12.99,,
excursiones-por-la-ciudad-y-lugares-de-interes,Tour Madrid al Atardecer con Show Flamenco en Tablao To...,"Plaza de Isabel II, 4, junto a estatua, Madrid",https://www.groupon.es/deals/amigo-tours-4,49.99,,
excursiones-por-la-ciudad-y-lugares-de-interes,Puesta de sol en Madrid en Segway.,"Paseo del Pintor Rosales, 2, Madrid",https://www.groupon.es/deals/viator-segway-trip-sl-5,35,,
excursiones-por-la-ciudad-y-lugares-de-interes,Recorrido excursión en Segway de Madrid por la noche de...,"Puerta del Sol,, Madrid",https://www.groupon.es/deals/viator-segwayfun-1,40,,
excursiones-por-la-ciudad-y-lugares-de-interes,"Visita guiada de 1,5 horas al Palacio Real de Madrid co...","Calle de Bailén,, Madrid",https://www.groupon.es/deals/viator-pancho-tours-4,44.99,,
excursiones-por-la-ciudad-y-lugares-de-interes,Tour en bicicleta eléctrica por Madrid Río y la Casa de...,"Avenida de Portugal,, Madrid",https://www.groupon.es/deals/viator-segway-trip-sl-7,35.51,,
excursiones-por-la-ciudad-y-lugares-de-interes,Recorrido por el Museo del Prado con guía privado y tra...,"Calle Ruiz de Alarcón, 23, Madrid",https://www.groupon.es/deals/viator-tour-travel-more-27,369,,
excursiones-por-la-ciudad-y-lugares-de-interes,Visita guiada a pie por el Madrid histórico,"Calle de Bailén, 8, Madrid",https://www.groupon.es/deals/viator-spain-web-tour-4,45,,
excursiones-por-la-ciudad-y-lugares-de-interes,Pasea por el famoso Parque del Retiro en Segway,"Puerta del Sol,, Madrid",https://www.groupon.es/deals/viator-segway-trip-sl-2,39,,
excursiones-por-la-ciudad-y-lugares-de-interes,Visita histórica a pie por Madrid con cata de vino y co...,"Puerta del Sol,, Madrid",https://www.groupon.es/deals/viator-native-spanish-tapas-1,74.9,,
excursiones-por-la-ciudad-y-lugares-de-interes,Paseo en segway por el centro histórico de Madrid,"Calle de Bailén, 8, Madrid",https://www.groupon.es/deals/viator-segway-trip-sl,29,,
excursiones-por-la-ciudad-y-lugares-de-interes,Lugares destacados de Madrid: Recorrido guiado en segwa...,"Puerta del Sol,, Madrid",https://www.groupon.es/deals/viator-segwayfun,30,,
excursiones-por-la-ciudad-y-lugares-de-interes,Excursión privada a pie en Madrid: Lo mejor del centro...,"Puerta del Sol,, Madrid",https://www.groupon.es/deals/viator-tour-travel-more-16,29,,
excursiones-por-la-ciudad-y-lugares-de-interes,"Visita guiada privada en Madrid: Museo del Prado, Thyss...","Calle de Santa Isabel, 52, Madrid",https://www.groupon.es/deals/viator-tour-travel-more-2,199,,
excursiones-por-la-ciudad-y-lugares-de-interes,Tour a pie privado por Madrid: Famoso Palacio Real,"Calle de Bailén,, Madrid",https://www.groupon.es/deals/viator-tour-travel-more-35,230,,
excursiones-por-la-ciudad-y-lugares-de-interes,Recorrido privado: Estadio Santiago Bernabéu y el Madri...,"Calle de Alcalá, 237, Madrid",https://www.groupon.es/deals/viator-tour-travel-more-8,389,,
excursiones-por-la-ciudad-y-lugares-de-interes,Recorrido privado por lo más destacado de Madrid para n...,"Puerta del Sol,, Madrid",https://www.groupon.es/deals/viator-pinocchio-tours-9,199,,
excursiones-por-la-ciudad-y-lugares-de-interes,Tour guiado a los Museos del Prado y Reina Sofía,"Calle de Santa Isabel, 52, Madrid",https://www.groupon.es/deals/viator-amigo-tours-spain-15,63,,
excursiones-por-la-ciudad-y-lugares-de-interes,Excursión por la ciudad de Madrid en autobús con parada...,"Puerta del Sol,, Madrid",https://www.groupon.es/deals/viator-julia-travel-sa-16,28,,
excursiones-por-la-ciudad-y-lugares-de-interes,Recorrido en Segway por Madrid,"Paseo del Pintor Rosales, 2, Madrid",https://www.groupon.es/deals/viator-julia-travel-sa-5,32,,
excursiones-por-la-ciudad-y-lugares-de-interes,Tour en bici eléctrica por Madrid.,"Paseo de la Castellana,, Madrid",https://www.groupon.es/deals/viator-segway-trip-sl-4,35.51,,
excursiones-y-aventuras-al-aire-libre,Entrada para hasta 2 adultos y niños a Insect Park hast...,"Km 5,800, M-600, InsectPark, San Lorenzo de El Escorial",https://www.groupon.es/deals/insect-park-1,5.49,,4.6
excursiones-y-aventuras-al-aire-libre,✈ Bautismo de vuelo: autogiro para una o dos personas,"Aeródromo de Casarrubios, Navalcarnero",https://www.groupon.es/deals/gyroclub-la-cierva-aeroaventura,49.95,,4.2
