url,coordenadas,imagen
https://www.tripadvisor.es/Restaurant_Review-g187514-d14157996-Reviews-La_descarada-Madrid.html,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.restaurant_review&zoom=15&size=347x137&scale=1&client=gme-tripadvisorinc&format=jpg&sensor=false&language=es_ES&center=40.429966,-3.673090&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v1%2FR_Pin_Small.png|40.429966,-3.673090&signature=cYVB1234QwQY9Hz85b_BXDzUMcU=","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
https://www.tripadvisor.es/Restaurant_Review-g187514-d991522-Reviews-Eiffel-Madrid.html,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.restaurant_review&zoom=15&size=347x137&scale=1&client=gme-tripadvisorinc&format=jpg&sensor=false&language=es_ES&center=40.398533,-3.759606&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v1%2FR_Pin_Small.png|40.398533,-3.759606&signature=-sN-zagyMM3NVeG6y_mKvLBGK9A=",https://media-cdn.tripadvisor.com/media/photo-s/16/63/99/aa/eiffel.jpg
https://www.tripadvisor.es/Restaurant_Review-g187514-d21328133-Reviews-Taberna_de_Penalver-Madrid.html,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.restaurant_review&zoom=15&size=347x137&scale=1&client=gme-tripadvisorinc&format=jpg&sensor=false&language=es_ES&center=40.433769,-3.674756&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v1%2FR_Pin_Small.png|40.433769,-3.674756&signature=ZVIFlPOKbPoL9bU8SyEusoS8xRQ=","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
https://www.tripadvisor.es/Restaurant_Review-g187514-d17655334-Reviews-Santita_Virgen_de_los_Peligros-Madrid.html,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.restaurant_review&zoom=15&size=347x137&scale=1&client=gme-tripadvisorinc&format=jpg&sensor=false&language=es_ES&center=40.418907,-3.699561&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v1%2FR_Pin_Small.png|40.418907,-3.699561&signature=cLBhRvA3YhTGYzenkyVYnJC0qTE=",https://media-cdn.tripadvisor.com/media/photo-s/1c/22/0a/1a/los-tacos-son-por-excelencia.jpg
https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.restaurant_review&zoom=15&size=347x137&scale=1&client=gme-tripadvisorinc&format=jpg&sensor=false&language=es_ES&center=40.419476,-3.703861&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v1%2FR_Pin_Small.png|40.419476,-3.703861&signature=kTWsB_ikzenB1koZg5MjkNLIwPI=",https://media-cdn.tripadvisor.com/media/photo-s/12/78/30/74/20180328-212059-largejpg.jpg
https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.restaurant_review&zoom=15&size=347x137&scale=1&client=gme-tripadvisorinc&format=jpg&sensor=false&language=es_ES&center=40.410007,-3.696893&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v1%2FR_Pin_Small.png|40.410007,-3.696893&signature=3GE5tGz7huIaseTL4FG9b4lukk4=",https://media-cdn.tripadvisor.com/media/photo-p/14/ed/9f/f1/photo0jpg.jpg
https://www.tripadvisor.es/Restaurant_Review-g187514-d9879706-Reviews-La_Bistroteca-Madrid.html,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.restaurant_review&zoom=15&size=347x137&scale=1&client=gme-tripadvisorinc&format=jpg&sensor=false&language=es_ES&center=40.424339,-3.679118&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v1%2FR_Pin_Small.png|40.424339,-3.679118&signature=v-u5xQFpoWGXg72el_9bRt8xUJY=",https://media-cdn.tripadvisor.com/media/photo-s/0a/97/0a/30/la-bistroteca.jpg
https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.restaurant_review&zoom=15&size=347x137&scale=1&client=gme-tripadvisorinc&format=jpg&sensor=false&language=es_ES&center=40.409576,-3.693304&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v1%2FR_Pin_Small.png|40.409576,-3.693304&signature=IS1TVBCpYYqy85Z2CPibnMNpAl4=",https://media-cdn.tripadvisor.com/media/photo-p/23/5a/65/c1/papardelle-con-trufa.jpg
https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.restaurant_review&zoom=15&size=347x137&scale=1&client=gme-tripadvisorinc&format=jpg&sensor=false&language=es_ES&center=40.430218,-3.700653&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v1%2FR_Pin_Small.png|40.430218,-3.700653&signature=c6S7cSdc7TQR0z-xv41O2lUNp_8=",https://media-cdn.tripadvisor.com/media/photo-p/23/5a/7e/ef/original.jpg
https://www.tripadvisor.es/Restaurant_Review-g187514-d23751367-Reviews-Oven_Mozzarella_Bernabeu-Madrid.html,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.restaurant_review&zoom=15&size=347x137&scale=1&client=gme-tripadvisorinc&format=jpg&sensor=false&language=es_ES&center=40.452084,-3.683674&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v1%2FR_Pin_Small.png|40.452084,-3.683674&signature=PJ89vDqPqtf6SXW39ECFDFjSeWc=",https://media-cdn.tripadvisor.com/media/photo-p/23/5a/66/56/papardelle-con-trufa.jpg
https://www.tripadvisor.es/Restaurant_Review-g187514-d19600933-Reviews-Pizzart_Villa_Canalejas-Madrid.html,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.restaurant_review&zoom=15&size=347x137&scale=1&client=gme-tripadvisorinc&format=jpg&sensor=false&language=es_ES&center=40.417030,-3.699800&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v1%2FR_Pin_Small.png|40.417030,-3.699800&signature=fRVbr3DhqfmdFrzt4LjBBk6q4Do=",https://media-cdn.tripadvisor.com/media/photo-s/1c/85/e5/bc/di-parma.jpg
https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.restaurant_review&zoom=15&size=347x137&scale=1&client=gme-tripadvisorinc&format=jpg&sensor=false&language=es_ES&center=40.511272,-3.678314&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v1%2FR_Pin_Small.png|40.511272,-3.678314&signature=kzQpyV4zOyEYdPPtKQRKuOz3DPE=",https://media-cdn.tripadvisor.com/media/photo-s/1c/21/d7/e9/comedor-arpit.jpg
https://www.tripadvisor.es/Restaurant_Review-g187514-d25243572-Reviews-Amazonia_Brunch_And_Cocktail-Madrid.html,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.restaurant_review&zoom=15&size=347x137&scale=1&client=gme-tripadvisorinc&format=jpg&sensor=false&language=es_ES&center=40.422810,-3.703944&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v1%2FR_Pin_Small.png|40.422810,-3.703944&signature=9uQjPLhYP_GKfjZJlzj-AubKPlw=",https://media-cdn.tripadvisor.com/media/photo-s/27/be/79/cd/acai-bowl.jpg
https://www.tripadvisor.es/Restaurant_Review-g187514-d10509960-Reviews-Oven_mozzarella_Las_Tablas-Madrid.html,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.restaurant_review&zoom=15&size=347x137&scale=1&client=gme-tripadvisorinc&format=jpg&sensor=false&language=es_ES&center=40.504517,-3.674775&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v1%2FR_Pin_Small.png|40.504517,-3.674775&signature=Ot_iyT91ctVKJ0k-ZDGLNRWqAxM=",https://media-cdn.tripadvisor.com/media/photo-p/23/5a/67/03/papardelle-con-trufa.jpg
https://www.tripadvisor.es/Restaurant_Review-g187514-d17609785-Reviews-Empanadas_Malvon-Madrid.html,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.restaurant_review&zoom=15&size=347x137&scale=1&client=gme-tripadvisorinc&format=jpg&sensor=false&language=es_ES&center=40.418789,-3.676397&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v1%2FR_Pin_Small.png|40.418789,-3.676397&signature=bbusB5lXiG4xtCAwQWbpQtBplD4=",https://media-cdn.tripadvisor.com/media/photo-p/1d/d5/01/cb/malvon-retiro.jpg
https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.restaurant_review&zoom=15&size=347x137&scale=1&client=gme-tripadvisorinc&format=jpg&sensor=false&language=es_ES&center=40.423302,-3.703676&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v1%2FR_Pin_Small.png|40.423302,-3.703676&signature=FBV9UvtHL-Vtf0JQbt5AR9g74Rw=","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
https://www.tripadvisor.es/Restaurant_Review-g187514-d23378462-Reviews-Taberna_4_Tapas-Madrid.html,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.restaurant_review&zoom=15&size=347x137&scale=1&client=gme-tripadvisorinc&format=jpg&sensor=false&language=es_ES&center=40.413647,-3.708410&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v1%2FR_Pin_Small.png|40.413647,-3.708410&signature=MshLym6_es7Kt6Xgzp6sBD5EDnk=",https://media-cdn.tripadvisor.com/media/photo-w/1c/f8/5b/6e/ensalada-de-tomate-con.jpg
https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-El_Sur_de_Huertas-Madrid.html,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.restaurant_review&zoom=15&size=347x137&scale=1&client=gme-tripadvisorinc&format=jpg&sensor=false&language=es_ES&center=40.413692,-3.699440&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v1%2FR_Pin_Small.png|40.413692,-3.699440&signature=C2Y1VrNi1RRPM4_Oim83u8ZH0AQ=",https://media-cdn.tripadvisor.com/media/photo-s/13/72/06/96/tabla-de-quesos-y-jamon.jpg
